Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,3,3,police,police
4,4,4,pensais,thought
5,5,5,aide,help
6,6,6,demande,request
7,7,7,genre,kind
8,8,8,mois,month
9,9,9,frère,brother
10,10,10,laisser,let
11,11,11,car,because
12,12,12,mettre,to put
13,13,13,aucun,no
14,14,14,laisse,leash
16,16,16,ville,city
17,17,17,chaque,each
18,18,18,parlé,speak
19,19,19,arrivé,come
20,20,20,devrait,should
21,21,21,bébé,baby
22,22,22,longtemps,long time
23,23,23,heures,hours
24,24,24,vont,will
25,25,25,pendant,while
26,26,26,revoir,meet again
27,27,27,aucune,any
28,28,28,place,square
29,29,29,parle,speak
30,30,30,compris,understood
31,31,31,savais,knew
32,32,32,étaient,were
33,33,33,attention,Warning
34,34,34,voici,here is
35,35,35,pourrais,could
36,36,36,affaire,case
37,37,37,donner,give
38,38,38,type,type
39,39,39,leurs,their
40,40,40,donné,given
42,43,43,endroit,place
43,44,44,yeux,eyes
44,45,45,façon,way
45,46,46,écoute,listen
46,47,47,dont,whose
47,48,48,trouve,find
48,49,49,premier,first
49,50,51,main,hand
50,51,52,première,first
51,52,53,côté,side
52,53,54,pouvoir,power
53,54,55,vieux,old
54,55,56,sois,be
55,56,57,tiens,here
56,57,58,matin,morning
57,58,59,tellement,so much
58,59,60,enfant,child
59,60,61,point,point
60,61,62,venu,came
61,62,63,suite,after
62,63,64,pardon,sorry
63,64,65,venez,come
64,65,66,devant,in front of
65,66,67,vers,towards
66,67,68,minutes,minutes
67,68,69,demandé,request
68,69,70,chambre,bedroom
69,70,71,mis,placed
70,71,72,belle,beautiful
71,72,73,droit,law
72,73,74,aimerais,would like to
73,74,75,aujourd'hui,today
74,75,76,mari,husband
75,76,77,cause,cause
76,77,78,enfin,finally
77,78,79,espère,hope
78,79,80,eau,water
79,80,81,attendez,Wait
80,81,82,parti,left
81,82,83,nouvelle,new
82,83,84,boulot,job
83,84,85,arrêter,Stop
84,85,86,dirait,would say
85,86,87,terre,Earth
86,87,88,compte,account
87,88,89,donne,given
88,89,90,loin,far
89,90,91,fin,end
90,91,92,croire,believe
91,92,93,chérie,sweetheart
92,93,94,gros,large
93,94,95,plutôt,rather
94,95,96,aura,will have
95,96,97,filles,girls
96,97,98,jouer,to play
97,98,99,bureau,office
